Time,Temperature,Humidity,Soil Moisture,AQI,TVOC,CO2
15:50:0,23,55,60,1,0,400
15:55:0,23,54,61,1,0,400
16:0:0,23,52,61,1,0,400
16:5:0,23,52,61,1,0,400
16:10:0,23,52,61,1,0,400
16:15:0,23,51,61,1,0,400
16:20:0,23,51,61,1,0,400
16:25:0,23,53,61,1,0,400
16:30:0,23,52,61,1,0,400
16:35:0,23,51,61,1,0,400
16:40:0,23,51,61,1,0,400
16:45:0,23,50,61,1,0,400
16:50:0,23,51,61,1,0,400
16:55:0,23,51,60,1,0,400
17:0:0,24,52,60,1,0,400
17:5:0,24,52,61,1,0,400
17:10:0,24,53,61,1,0,400
17:15:0,24,53,61,1,0,400
17:20:0,24,53,60,1,0,400
17:25:0,24,54,60,1,5,400
17:30:0,24,54,60,1,6,400
17:35:0,24,54,60,1,4,400
17:40:0,24,53,60,3,627,903
17:45:0,24,54,60,4,756,939
17:50:0,24,54,61,3,572,888
17:55:0,24,53,60,3,507,868
18:0:0,24,54,60,3,449,850
18:5:0,24,53,60,3,431,845
18:10:0,24,53,61,3,389,831
18:15:0,24,53,60,3,357,820
18:20:0,24,53,60,3,335,813
18:25:0,24,53,60,3,304,802
18:30:0,24,53,61,3,278,781
18:35:0,24,53,60,3,268,771
18:40:0,24,53,60,3,247,749
18:45:0,24,52,61,3,227,725
18:50:0,24,52,61,3,225,724
18:55:0,24,52,61,2,209,704
19:0:0,24,52,61,2,206,700
19:5:0,24,52,61,2,192,683
19:10:0,24,53,61,2,171,656
19:15:0,24,53,61,2,160,641
19:20:0,24,52,61,2,153,632
19:25:0,24,52,61,2,141,614
19:30:0,24,52,60,2,142,615
19:35:0,24,52,60,2,130,597
19:40:0,24,52,61,2,130,596
19:45:0,24,53,61,2,127,593
19:50:0,24,52,60,2,108,562
19:55:0,24,52,60,2,103,555
20:0:0,24,52,61,2,100,550
20:5:0,24,52,61,2,100,550
20:10:0,24,52,60,2,91,534
20:15:0,24,52,61,2,91,534
20:20:0,24,52,60,2,83,519
20:25:0,24,52,60,2,77,509
20:30:0,24,52,61,2,79,513
20:35:0,24,52,60,1,61,480
20:40:0,24,52,61,2,67,491
20:45:0,24,52,60,1,60,476
20:50:0,24,52,60,1,58,473
20:55:0,24,52,61,1,54,465
21:0:0,23,52,60,1,57,472
21:5:0,23,52,60,1,44,444
21:10:0,23,52,60,1,40,437
21:15:0,24,53,61,1,40,436
21:20:0,24,54,61,1,37,429
21:25:0,24,54,61,1,36,427
21:30:0,24,54,61,1,56,470
21:35:0,24,54,61,1,57,470
21:40:0,24,54,60,1,63,483
21:45:0,24,54,60,1,63,483
21:50:0,24,54,60,2,74,503
21:55:0,24,54,60,2,74,504
22:0:0,24,55,60,2,79,513
22:5:0,24,54,60,2,78,511
22:10:0,24,54,60,2,82,519
22:15:0,24,54,60,2,81,516
22:20:0,24,54,61,2,86,525
22:25:0,24,54,60,2,88,529
22:30:0,24,54,60,2,85,523
22:35:0,24,54,60,2,86,525
22:40:0,24,54,60,2,92,536
22:45:0,24,54,60,2,92,535
22:50:0,24,54,61,2,97,544
22:55:0,24,54,60,2,98,547
23:0:0,24,54,60,2,111,567
23:5:0,24,53,60,2,121,583
23:10:0,24,54,60,2,122,585
23:15:0,24,54,60,2,114,573
23:20:0,24,53,60,2,120,582
23:25:0,25,54,60,2,123,586
23:30:0,25,53,60,2,121,583
23:35:0,25,52,60,2,101,550
23:40:0,25,52,60,2,102,553
23:45:0,25,52,60,2,99,547
23:50:0,25,53,60,2,104,555
23:55:0,25,52,60,2,93,538
24:0:0,25,52,60,2,97,544
